date,time,open,high,low,close,volume
2024-05-06,09:31,513.42,513.56,513.37,513.45,222440
2024-05-06,09:32,513.45,513.605,513.3,513.4,240411
2024-05-06,09:33,513.41,513.52,513.37,513.49,243882
2024-05-06,09:34,513.5,513.64,513.44,513.61,177570
2024-05-07,09:30,517.56,517.59,517.33,517.41,485564
2024-05-07,09:31,517.43,517.9299,517.39,517.9,333627
2024-05-07,09:32,517.89,517.92,517.77,517.79,243396
2024-05-07,09:33,517.79,517.93,517.77,517.82,189755
2024-05-07,09:34,517.83,517.88,517.67,517.7488,119053
2024-05-08,09:30,515.26,515.64,515.14,515.64,421845
2024-05-08,09:31,515.63,515.775,515.5,515.72,257815
2024-05-08,09:32,515.72,515.76,515.43,515.47,167681
2024-05-08,09:33,515.49,515.51,515.355,515.42,134581
2024-05-08,09:34,515.42,515.69,515.295,515.5984,137691
2024-05-09,09:30,517.38,517.77,517.34,517.75,472130
2024-05-09,09:31,517.75,517.76,517.42,517.56,128798
2024-05-09,09:32,517.5601,517.71,517.52,517.6,167453
2024-05-09,09:33,517.6,517.6,517.41,517.51,99644
2024-05-09,09:34,517.53,517.765,517.52,517.6,83189
2024-05-10,09:30,521.81,521.82,521.36,521.37,853155
2024-05-10,09:31,521.37,521.7403,521.36,521.66,217005
2024-05-10,09:32,521.67,521.95,521.66,521.8199,279782
2024-05-10,09:33,521.81,521.93,521.77,521.875,130180
2024-05-10,09:34,521.88,522.135,521.88,522.12,176803
2024-05-13,09:30,522.56,522.67,522.3,522.4,973131
2024-05-13,09:31,522.41,522.46,522.32,522.385,130781
2024-05-13,09:32,522.38,522.4,522.16,522.22,130106
2024-05-13,09:33,522.21,522.21,522.08,522.12,83539
2024-05-13,09:34,522.13,522.13,521.825,521.83,134495
2024-05-14,09:30,521.11,521.355,521.01,521.31,543876
2024-05-14,09:31,521.3,521.43,521.19,521.37,177923
2024-05-14,09:32,521.38,521.43,521.24,521.275,236149
2024-05-14,09:33,521.27,521.29,521.06,521.075,156538
2024-05-14,09:34,521.07,521.18,521.0,521.06,135541
2024-05-15,09:30,525.83,526.01,525.71,525.99,609127
2024-05-15,09:31,525.99,526.2,525.95,526.07,207838
2024-05-15,09:32,526.08,526.37,526.07,526.315,284681
2024-05-15,09:33,526.32,526.53,526.26,526.42,225920
2024-05-15,09:34,526.42,526.46,526.26,526.45,201737
2024-05-16,09:30,529.88,530.24,529.86,530.12,422017
2024-05-16,09:31,530.14,530.24,529.99,530.13,158090
2024-05-16,09:32,530.15,530.21,530.06,530.06,142298
2024-05-16,09:33,530.07,530.23,530.045,530.09,184946
2024-05-16,09:34,530.08,530.19,530.01,530.1,147179
2024-05-17,09:30,528.81,529.2,528.75,529.13,655613
2024-05-17,09:31,529.13,529.18,528.91,528.94,248035
2024-05-17,09:32,528.91,529.01,528.87,528.98,154465
2024-05-17,09:33,528.97,529.0101,528.8,528.81,214019
2024-05-17,09:34,528.8,528.84,528.67,528.76,162456
2024-05-20,09:30,529.57,529.72,529.47,529.7,351110
2024-05-20,09:31,529.69,529.82,529.65,529.81,111678
2024-05-20,09:32,529.82,529.98,529.82,529.945,177282
2024-05-20,09:33,529.95,529.9955,529.89,529.93,123466
