date,spy_open,previous_close,gap_pct,first_1m_return,net_movement,opening_range_high,opening_range_low,opening_range_width,breakout_direction,volatility,volume,volume_ratio,label
2025-02-21,610.16,610.22,-0.0098,-0.0764,-0.0861,610.3,609.5337,0.7663,DOWN,0.3315,765301,0.5441,PASS
2025-02-24,602.02,600.25,0.2949,0.0199,0.0208,603.03,601.77,1.26,UP,0.475,1371677,0.9782,PASS
2025-02-25,597.15,597.25,-0.0167,0.0033,0.0594,597.87,596.4899,1.3801,UP,0.576,1203041,0.8418,PASS
2025-02-26,595.93,594.6,0.2237,-0.1309,-0.1149,596.12,595.1,1.02,DOWN,0.526,1603440,1.2515,PASS
2025-02-27,596.85,594.87,0.3328,0.0536,0.0402,597.28,596.6,0.68,UP,0.5234,1138518,0.8916,PASS
2025-02-28,585.56,584.93,0.1077,-0.0786,-0.3672,585.58,583.27,2.31,DOWN,0.732,2624996,2.0221,PASS
2025-03-03,596.18,593.93,0.3788,-0.0518,0.1174,597.34,595.62,1.72,UP,0.6032,1676440,1.2096,PASS
2025-03-04,579.71,584.36,-0.7957,-0.0466,-0.1984,579.82,578.01,1.81,DOWN,0.794,2961426,2.1186,PASS
2025-03-05,576.69,577.51,-0.142,0.1058,0.1526,577.6,576.26,1.34,UP,0.7686,1627788,1.1703,PASS
2025-03-06,575.48,583.05,-1.2983,0.0035,-0.066,575.75,574.5701,1.1799,DOWN,0.656,1436599,1.0142,PASS
2025-03-07,570.9,573.12,-0.3874,0.1366,0.3316,573.0,570.8,2.2,UP,0.8595,1447311,0.9988,PASS
2025-03-10,567.59,575.59,-1.3899,0.118,-0.0775,568.79,566.36,2.43,DOWN,0.992,1919862,1.3244,PASS
2025-03-11,559.4,560.41,-0.1802,0.0626,-0.0769,560.23,558.53,1.7,DOWN,0.782,1636258,1.1073,PASS
2025-03-12,562.17,556.85,0.9554,-0.0267,0.0462,563.11,561.41,1.7,UP,0.737,3942142,2.6215,PASS
2025-03-13,558.49,558.62,-0.0233,-0.1468,-0.0304,558.56,557.27,1.29,DOWN,0.8649,873533,0.5266,PASS
2025-03-14,556.11,551.9,0.7628,0.0288,0.096,556.895,555.8,1.095,UP,0.584,1974145,1.3074,PASS
