date,spy_open,previous_close,gap_pct,first_1m_return,net_movement,opening_range_high,opening_range_low,opening_range_width,breakout_direction,volatility,volume,rvol_10d,vix_at_open,entry_price,outcome_label,label,max_gain_reached,max_drawdown_reached
2024-11-06,589.2,576.77,2.1551,-0.2122,-0.1561,589.43,587.77,1.66,DOWN,0.921,3604465,2.7833,15.81,588.28,FAIL_FAKEOUT,PASS,0.136,-0.4913
2024-11-07,593.08,591.24,0.3112,0.0472,0.0371,593.56,592.9999,0.5601,UP,0.304,1351614,0.8639,15.44,593.3,PASS,PASS,0.1862,-0.0421
2024-11-08,596.17,595.5299,0.1075,0.0654,0.0604,596.84,596.165,0.675,UP,0.288,1256034,0.8222,14.79,596.53,PASS,PASS,0.176,-0.0436
2024-11-11,599.81,598.3,0.2524,0.0283,-0.0458,600.125,599.49,0.635,DOWN,0.296,1331870,0.8785,15.31,599.535,PASS,PASS,0.1059,-0.1676
2024-11-12,598.68,598.36,0.0535,0.0185,0.0048,598.95,598.37,0.58,UP,0.34,969996,0.6596,15.16,598.709,PASS,PASS,0.097,-0.1602
2024-11-13,597.37,597.06,0.0519,0.0151,0.0335,597.61,597.12,0.49,UP,0.2645,901877,0.6081,14.72,597.57,FAIL_FAKEOUT,PASS,0.0251,-0.4368
2024-11-14,597.32,597.21,0.0184,0.0502,0.0502,597.81,597.27,0.54,UP,0.351,840768,0.5709,14.01,597.62,FAIL_FAKEOUT,PASS,0.0284,-0.4175
2024-11-15,589.72,593.26,-0.5967,0.0195,-0.0848,590.2,589.22,0.98,DOWN,0.422,1750943,1.2694,14.69,589.22,FAIL_FAKEOUT,PASS,0.1493,-0.4328
2024-11-18,586.22,586.31,-0.0154,-0.0785,-0.116,586.24,585.34,0.9,DOWN,0.306,873022,0.6314,16.66,585.54,TAKE,TAKE,0.3672,-0.0307
2024-11-19,584.71,588.15,-0.5849,0.0188,0.0564,585.29,584.55,0.74,UP,0.4552,1023994,0.7497,17.0,585.04,PASS,PASS,0.2684,-0.1726
2024-11-20,590.38,590.68,-0.0508,-0.0322,-0.0847,590.53,589.8,0.73,DOWN,0.402,1243891,0.8946,16.53,589.88,FAIL_FAKEOUT,PASS,0.0,-0.89
2024-11-21,593.4,590.69,0.4588,-0.1079,-0.2949,593.57,591.385,2.185,DOWN,0.7976,1136130,0.9842,15.89,591.65,FAIL_FAKEOUT,PASS,0.0101,-0.7099
